Experiment,Pearson_R,Pearson_p,Spearman_R,Spearman_p,R_squared,MSE,MAE,Pred_Mean,Pred_Std,True_Mean,True_Std
EBM vs Flow Matching,0.0002405362384085494,0.9393687477365297,0.0015430448706367568,0.6255867991929465,-145.21546936035156,11854.61328125,108.32376098632812,15.093568,6.287141,123.41732788085938,9.004240036010742
EBM vs Energies,-0.33116420153001147,0.0,-0.8148591620177167,0.0,-18.914739253623786,11014.11893712509,101.82128102775657,15.093568,6.287141,-86.51153706420878,23.517305924681416
Flow Matching vs Energies,0.0009072360051894315,0.7741967865242115,0.0023875615042758553,0.4502460547766668,-79.82954516237585,44703.88553493786,210.1082254752436,123.41733,9.00424,-86.51153706420878,23.517305924681416
